lon,lat,ruta
-70.36525,-33.35058,1
-70.36515,-33.35044,1
-70.36497,-33.35006,1
-70.36495,-33.34996,1
-70.36476,-33.34963,1
-70.36466,-33.34954,1
-70.3646,-33.3495,1
-70.36444,-33.34932,1
-70.3643,-33.34902,1
-70.3643,-33.34898,1
-70.36428,-33.34892,1
-70.36428,-33.34881,1
-70.36429,-33.34875,1
-70.36429,-33.34855,1
-70.36441,-33.34762,1
-70.3644,-33.34758,1
-70.3644,-33.34753,1
-70.36436,-33.34745,1
-70.36409,-33.34713,1
-70.36348,-33.34654,1
-70.36339,-33.34642,1
-70.36335,-33.34632,1
-70.36334,-33.34616,1
-70.36336,-33.34605,1
-70.36352,-33.34575,1
-70.36353,-33.34572,1
-70.36353,-33.34568,1
-70.36352,-33.34566,1
-70.36349,-33.34563,1
-70.36343,-33.34563,1
-70.36342,-33.34564,1
-70.3634,-33.34565,1
-70.36338,-33.34567,1
-70.36316,-33.34614,1
-70.36313,-33.34624,1
-70.36306,-33.34662,1
